virtue,pole,candidate,corpus_frequency,attested,verdict,verifier_note,example_1,example_2,example_3
prudence,affirming,körültekintés,3,True,,,"eljárásokat nagyon alaposan , a lehető legnagyobb **körültekintéssel** és a legjobb szakemberek végezzék el .","hasonlóképpen nem ad garanciát arra , hogy **körültekintés** nélkül és csak az elődök építményének a","Reméljük , hogy kellő **körültekintéssel** fog történni , és a helyi közösségek"
prudence,affirming,körültekintő,4,True,,,A béremelés mértékének és ütemezésének kialakítása ugyanakkor **körültekintő** tervezést és költségvetési egyeztetést igényel a Pénzügyminisztériummal,", egy olyan világ , ahol tényleg **körültekintőnek** kell lenni .","speciális megoldást , úgyhogy mindent megfontoltan és **körültekintően** fogunk majd ezzel kapcsolatban tenni ."
prudence,affirming,megfontol,17,True,,,**Megfontoljuk** .,"híven ‑ minden jobbító szándékú ellenzéki javaslatot **megfontolunk** , még ha ez önöknek szokatlan is","Úgy gondolom , hogy ezt érdemes **megfontolni** ."
prudence,affirming,megfontolt,5,True,,,"ez tényleg egy olyan terület , ahol **megfontolt** és higgadt párbeszédre van szükség .","találni valami speciális megoldást , úgyhogy mindent **megfontoltan** és körültekintően fogunk majd ezzel kapcsolatban tenni","Tehát szerintem önöknek az a jól **megfontolt** érdeke , hogy május 31-én a köztársasági"
prudence,affirming,megfontoltság,0,False,,,,,
prudence,affirming,mérlegel,20,True,,,"Ezeket azért nagyon fontos **mérlegelni** pró és kontra , hogy mi az",körülményeket megfelelő szakmai tapasztalattal rendelkező független szakértők **mérlegeljék** .,fontos ezeket a jogi és politikai problémákat **mérlegelni** .
prudence,affirming,mérlegelés,24,True,,,kell találni az egyensúlyt az alapos szakmai **mérlegelés** és a gyorsaság között .,A törvényhozónak a **mérlegelés** során tekintettel kell lennie a megfigyeltek információs,Mi indokolja a kormány részéről olyan átalakítások **mérlegelését** ‑ amennyiben lehet hinni a napvilágra került
prudence,affirming,szakszerű,3,True,,,"iskolák , óvodák átalakítása bérlakásokká átlátható , **szakszerű** forrásfelhasználással valósulhat meg , hogy a legszegényebb",", a vízmegtartó művelésre , a takarónövények **szakszerű** alkalmazására , a talajbolygatás csökkentésére és az","hogy ezeket az uniós forrásokat felelősségteljesen , **szakszerűen** használjuk föl a magyar emberek , a"
prudence,affirming,átgondol,10,True,,,"föl , és érdemes ezt a részét **átgondolni** .","Ezt szerintem érdemes egy kicsit újra **átgondolni** , hiszen nemcsak gazdag családok gyerekei járnak",**Átgondolták** ezt ?
prudence,affirming,átgondolt,8,True,,,"A törvényjavaslatot összességében nem tartjuk kellően **átgondoltnak** , ami minden bizonnyal az uniós források","Ez minden , csak nem **átgondolt** kormányzás .",Ezek a folyamatok **átgondolt** szakpolitikai válaszlépéseket követelnek meg .
prudence,affirming,ésszerű,0,False,,,,,
prudence,affirming,észszerű,17,True,,,"nyelvhelyességi javítás volt , hanem az „ **észszerű** ” szónak az új helyesírása miatt ,","Ha ebből egy **észszerű** vita eredményeként eredményesebben működő KEKVA-k létrejönnek ,",Mondanék itt még néhány **észszerű** felvetést .
prudence,accusing,dilettáns,1,True,,,", az átadás több ponton szakszerűtlen , **dilettáns** módon történt , és sem az ügyintézési",,
prudence,accusing,elhamarkodott,3,True,,,"a javaslatokat , de ez nem egy **elhamarkodott** döntés volt .","Mindenesetre végül összegzésképpen : **elhamarkodott** , még nem biztonságos a geopolitikai környezet",", amikor én azt mondtam , hogy **elhamarkodott** a döntés , mert a Hormuzi-szoros békéje"
prudence,accusing,felelőtlen,31,True,,,"hátrányt amiatt , hogy esetleg a szüleik **felelőtlen** módon használják ezt fel vagy terrorizálják őket","Másodszor : az Orbán-kormány **felelőtlen** pénzszórásba kezdett a választás előtti hónapokban ,","olajtársaságnál tűzről beszélni több mint veszélyes és **felelőtlen** dolog , nyilván nem szó szerint ,"
prudence,accusing,felelőtlenség,11,True,,,"Ez a rendszerszintű **felelőtlenség** vezetett oda , hogy a kritikus állapotban","képest , államtitkár asszony , egy óriási **felelőtlenséget** követtek el a kormányváltás után , amikor",fizet rendkívül nagy árat : a múlt **felelőtlensége** a jelen szárazsága .
prudence,accusing,meggondolatlan,1,True,,,"azt nem lehet egyik napról a másikra **meggondolatlanul** , de akkor én hadd próbáljam serkenteni",,
prudence,accusing,ostoba,5,True,,,", meg nem büdösek , meg nem **ostobák** , hanem ahogy a legutóbbi választás önöket","önmagában ezt a gondolkodást igen kártékonynak és **ostobának** gondolom ‑ , hogy önök a választási","megváltoztatása nélkül ismételgette ugyanazokat a bornírt , **ostoba** , káros szövegeket , amiket az azt"
prudence,accusing,szakszerűtlen,2,True,,,"kaotikus volt , az átadás több ponton **szakszerűtlen** , dilettáns módon történt , és sem",Korábban néhány **szakszerűtlen** elemzéssel a szakmai anyag nevének használata mellett,
prudence,accusing,átgondolatlan,5,True,,,", hogy véget vessünk a korábbi korszakok **átgondolatlan** , pazarló , sokszor értelmetlen beruházásainak .",**Átgondolatlan** a jelenleg tervezett szabályozás más szempontból is,", a bosszúhadjáratunkról , a gyors , **átgondolatlan** intézkedéseinkről , a társadalmi egyeztetés hiányáról ,"
justice,affirming,arányos,61,True,,,"alaptörvény-módosítás egy átmeneti módosítás , szükséges és **arányos** átmeneti módosítás .","létrehozása nem valamely valós államszervezeti hiányra adott **arányos** és szükséges válasz volt , hanem politikai",", hogy ezt orvosolják , és egy **arányosabb** , demokratikusabb választási rendszert kívánnak létrehozni ."
justice,affirming,arányosság,9,True,,,"A javaslat az ágazat **arányosságának** jelszavával úgy alakítja a választási rendszert ,","Célhoz kötöttség , jogellenességhez kötött aktivitás , **arányosság** , függetlenségi garanciák ‑ ezek jellemzik a",", több alkalommal érvekkel megjelenített szükségesség és **arányosság** mentén az alkotmányos demokrácia helyreállításának első lépcsőjéhez"
justice,affirming,egyenlő,70,True,,,"a betegtársunk juthat segítséghez , hanem mindenki **egyenlő** esélyekkel hozzáférhet ezekhez a gyógyszerekhez .","a kormánypárti , mind az ellenzéki képviselőcsoportok **egyenlő** mértékű képviselete .",Orbán-kormány abortuszpolitikája **egyenlő** Gyurcsány-kormány abortuszpolitikája : ezzel a jelszóval világított
justice,affirming,egyenlőség,6,True,,,"a döntés következményét , a törvény előtti **egyenlőséget** és a közös állam fölötti közös ellenőrzést",alapvető jogok védelme és a törvény előtti **egyenlőség** lehet .,"engedve , megtörve így a képviselők közti **egyenlőség** hagyományát ."
justice,affirming,elfogulatlan,5,True,,,"nem politikai privilégiumot biztosít , hanem az **elfogulatlan** vizsgálat minimális garanciáját teremti meg , mert","helyes , ha maga a praxis is **elfogulatlan** , és fölkészültségen fog alapulni , akkor","halak , mint például Jellinek Dániel esetében **elfogulatlanul** járhatnak el majd a hatóságok ."
justice,affirming,igazságos,59,True,,,"változások egyértelműen „ a szennyező fizet ” **igazságos** elvén alapulnak , és nem jelentenek növekedési","magyar ember vár arra , hogy végre **igazságos** és átlátható megoldások szülessenek .","a forráselosztás átlátható , szakmai alapú , **igazságos** ; egy olyan Magyarország , ahol nem"
justice,affirming,igazságosság,8,True,,,"az adó mértékében , ami a társadalmi **igazságosság** szempontjából vállalható a döntéshozás részéről , és","közösségnek , amely már lefektette hitét az **igazságosság** és az emberi méltóság mellett .","felelősség , hanem arról , hogy legyen **igazságosság** , hogy amíg az Országgyűlés újra nem"
justice,affirming,jogos,74,True,,,"arról beszéltek végig , amit megint csak **jogosan** éreztek a magyarok , egyébként a Fidesz-szavazók",hogy a magyar emberek végre hozzájuthassanak a **jogosan** járó fejlesztési pénzekhez .,"kellett volna beszélnie például , hogy valóban **jogosan** , teljes joggal alakulhatott ki magyarok millióiban"
justice,affirming,jogosság,2,True,,,"Egy eljárás **jogosságát** , törvényességét nem az én tisztem eldönteni","hogy mindenki érezze ennek a kérdésnek a **jogosságát** és aktualitását , ugyanis a válasz erre",
justice,affirming,jogszerű,44,True,,,"Önök állítólag a **jogszerű** működést akarják helyreállítani , de ezt úgy","joggal számíthat arra , hogy egy korábban **jogszerűen** megszerzett jogi helyzetet az állam nem változtat",lehetővé teszik a demokratikus intézmények független és **jogszerű** működésének helyreállítását .
justice,affirming,jogszerűség,7,True,,,valamint a kamara által alkotott szabályzatoknak a **jogszerűségét** .,"tett hatásvizsgálat elmaradt , így az engedély **jogszerűsége** is kérdéses .","hanem annak kimondása , hogy a kivételek **jogszerűsége** sem kerülhet kívül az ellenőrzésen ."
justice,affirming,méltányos,20,True,,,"indokolt a közszférában , amely átlátható , **méltányos** , a viselt közjogi tisztséggel járó felelősséggel","mércét állítsa , mert egyszerűen nem lenne **méltányos** .","saját tapasztalataik alapján , szakmai igényességgel és **méltányosan** jártak el , és próbálták meg elismerni"
justice,affirming,méltányosság,11,True,,,"A társadalombiztosítási befogadások , az egyedi **méltányosság** , a különböző támogatási formák és az",", de legalább a bosszú helyett a **méltányosság** és a tisztelet tudna valamiképpen társadalomszervező erővé","sem jogosultságot , nem szűkíti az egyedi **méltányosság** lehetőségét és nem csökkenti a támogatások körét"
justice,affirming,pártatlan,15,True,,,"Az adóhatóságnak szakmai , **pártatlan** és politikai befolyástól mentes szervezetként kell működnie","futó szöveges hírcsík nem semleges és nem **pártatlan** , ez a HVG véleménye volt .","van szó , biztosítsam a nyomozati szervek **pártatlan** eljárását ; ezt ígértem a miniszteri meghallgatásomon"
justice,affirming,pártatlanság,17,True,,,"a függetlenség , az objektivitás , a **pártatlanság** követelményeinek megfelelően látja el , és a","Működésének alapja a **pártatlanság** , amely kizárja a részrehajlást , és","ne lett volna eddig is elvárás : **pártatlanságot** , kiegyensúlyozottságot , közszolgálatiságot ."
justice,affirming,tisztesség,25,True,,,"hanem felelősséget , nem magyarázatokat , hanem **tisztességet** .","ahol nem a tudás , nem a **tisztesség** és a becsületes munka , hanem a",az elvtársi hűség vagy a nemzet iránti **tisztesség** az erősebb .
justice,affirming,tisztességes,125,True,,,"hogy biztosítsuk férfi honfitársaink számára is a **tisztességes** időskor lehetőségét úgy , hogy egészségben tölthessék","ahol a szakértelem mellett a mértéktartó , **tisztességes** példamutatás a közösség bizalmának legfőbb alapköve .","vállalkozó , aki hisz abban , hogy **tisztességes** munkával Magyarországon is lehet jövőt építeni ."
justice,accusing,egyenlőtlenség,6,True,,,"Kiemelten fontos számára az oktatási **egyenlőtlenségek** , az iskolarendszer teljesítményének és a pedagóguspálya","a pedagóguspálya helyzetének a témája , az **egyenlőtlenségek** megszüntetése .","a képviselő asszonytól előbb , a területi **egyenlőtlenségek** is hosszabb várakozási időt jelentenek azokban a"
justice,accusing,elfogult,13,True,,,"liberális , globalista , a TISZA irányába **elfogult** és Magyar Péter önkényét szolgáló közmédiának a","Magyar Péter-i önkényt szolgáló , liberális , **elfogult** közmédiát építenek , és erre bizony már","És kérem , hogy kevésbé legyen **elfogult** az orvos kollégái irányában , mert az"
justice,accusing,igazságtalan,19,True,,,", napi politikától függetlenül kimondhatjuk , hogy **igazságtalan** , aránytalan , torz választási rendszer van","közel 800 éve megmondta , hogy az **igazságtalan** törvény nem törvény , hanem az erőszak",", de ez a javaslat hibás és **igazságtalan** javaslat ."
justice,accusing,igazságtalanság,11,True,,,"Én felhívnám Németh Balázs figyelmét arra az **igazságtalanságra** , ami itt ‑ hála önöknek ‑",Meglátásunk szerint ez egy egyértelmű **igazságtalanságot** számol fel így a rendszerben .,"meggondolják , mielőtt felemelik a szavukat az **igazságtalanság** ellen , azt akarták , hogy a"
justice,accusing,jogtalan,16,True,,,"A vagyonvisszaszerzés lényege , hogy amit **jogtalanul** kivettek a közösből , azt jogállami eszközökkel","már ön által vezetett minisztérium korábbi működésében **jogtalanul** használták a minisztérium informatikai rendszereit , a",Mindezt **jogtalanul** .
justice,accusing,részrehajlás,3,True,,,"nem politikai bunkósbotként akarják használni , hanem **részrehajlás** nélkül , akkor ez lehetne egy jó","Nem **részrehajlásból** mondom , de meggyőződésem , hogy az","alapja a pártatlanság , amely kizárja a **részrehajlást** , és megköveteli , hogy a hivatal"
justice,accusing,részrehajló,0,False,,,,,
justice,accusing,tisztességtelen,10,True,,,"sem fogadhatja el , hogy az emberek **tisztességtelen** piaci szereplők vagy bűncselekmények következtében akár vagyontalanná",indítványként benyújtották az Országgyűlés részére az egyes **tisztességtelen** fogyasztói szerződések jogkövetkezményeit rendező törvények felülvizsgálata érdekében,"és sose lesz korrupt és sose lesz **tisztességtelen** , és van , aki bármennyit is"
courage,affirming,bátor,63,True,,,"A következő hónapokban és években olyan **bátor** emberek fognak munkához látni , akiknek az","Itt az ország Házában köszönöm meg **bátor** kiállásodat , és nemzetünk háláját kifejezve ígérem",Akkor még **bátran** felvállalta ön is .
courage,affirming,bátorság,61,True,,,"Tisztesség , **bátorság** , bölcsesség ‑ miniszterelnökként kellő alázattal ebben",", világos mondatokat és a védtelenek melletti **bátorságot** joggal várja el a szeretett hazánk .","Hátha összeszedte a **bátorságát** , hiszen Donald Trump 500 méteres körzetében"
courage,affirming,elszánt,6,True,,,", hogy ők kezdetektől fogva tudatosan , **elszántan** rendszert építettek Orbán Viktor uralkodása köré ,",", gyorsabb eljárásokra , erős intézményekre és **elszánt** szakemberekre van szükség .","munkának , amelyben ismét bebizonyosodott : néhány **elszánt** ember bátorságából végül egy egész nemzet reménye"
courage,affirming,elszántság,4,True,,,"a legutóbbi pályázati kiírások alkalmával is hatalmas **elszántsággal** és felkészültséggel nyújtották be igényeiket , amelyek","úton , széles társadalmi összefogással és rendíthetetlen **elszántsággal** döntött saját jövőjéről .","a magyar emberektől , hogy ugyanazzal az **elszántsággal** álljanak majd a nemzeti vagyonvisszaszerzési és -védelmi"
courage,affirming,eltökélt,0,False,,,,,
courage,affirming,eltökéltség,1,True,,,"nyomozók , ügyészek , bírák tisztessége , **eltökéltsége** , kérlelhetetlensége és szorgalma sem elég .",,
courage,affirming,felvállal,8,True,,,"nem csodálom , hogy nem merik ezt **felvállalni** .","Nekünk annak a mutatónak az értékét kellett **felvállalni** , hogy mennyivel csökkentjük 2030-ra meg az","Fidesz-módi , hogy nem merik azt sem **felvállalni** , hogy ők szervezik ."
courage,affirming,helytáll,12,True,,,"civil , aki a legnehezebb napokon is **helytáll** , és igen , az a közösség",közösség minden tagjának ugyanazért az ügyért kell **helytállnia** .,"közben dolgozik , nevel , remél , **helytáll** ."
courage,affirming,helytállás,8,True,,,és nagyon sokat beszélgettünk az ott hősies **helytállást** tanúsító vízügyi szakemberekkel ( Pócs János :,magyar nemzeti karakterben erősen jelen lévő tisztességes **helytállásra** építsünk új országot .,szeretném megköszönni a bizottság tagjainak munkáját és **helytállását** .
courage,affirming,hős,75,True,,,", hogy méltó módon emlékezhessünk az egykori **hősökre** .","‑ tudja azoknak a bátor helyi fiatal **hősöknek** átadni a családi gazdaságot , akik vállalják",Tisztelet és dicsőség a **hősöknek** !
courage,affirming,hősies,3,True,,,", és nagyon sokat beszélgettünk az ott **hősies** helytállást tanúsító vízügyi szakemberekkel ( Pócs János",": három orvos és hatfős szakszemélyzet vív **hősies** küzdelmet , akik emellett még Nyíregyházán és","akkor történt , amikor a gyógyíthatatlan ALS-betegséggel **hősiesen** küzdő alkotmányjogász , Karsai Dániel folytatott harcot"
courage,affirming,hősiesség,1,True,,,"Ön , aki tagadja a **hősiességét** az 56-os szabadságharcosoknak , ön , aki",,
courage,affirming,kitart,14,True,,,"Egyben köszönöm szépen , hogy **kitartottak** és meghallgattak .",Ha **kitartunk** az ókori és újkori olimpiai charta alaptézise,"a veszélyt , a várkapitányra , aki **kitartott** a falakon , a szerzetesre , aki"
courage,affirming,kitartás,19,True,,,"róla , hogy erővel , tisztességgel , **kitartással** és hazaszeretettel el tudja végezni ezt a","korábban is egyébként bebizonyította szakmai felkészültségét , **kitartását** és közösségi elkötelezettségét .","a tehetség , a szorgalom , a **kitartás** és az összefogás többet számít a lakosságszámnál"
courage,affirming,merész,2,True,,,"fel kell állítanunk , és leszünk olyan **merészek** , hogy létrehozunk egy olyan független ,","folytatni mindennap , elszántan , hitelesen és **merészen** , a legkomolyabb szakmai érvek mentén .",
courage,affirming,merészség,1,True,,,"meg jogalkotást alapozni , az több mint **merészség** , tisztelt képviselőtársaim .",,
courage,affirming,rettenthetetlen,0,False,,,,,
courage,accusing,gyáva,28,True,,,"volt , még a háború előtt is **gyáva** volt Kárpátaljára menni .","Mivel a világ **leggyávább** magyarja , aki meggyalázta , megalázta az","a nemzeti egységre törekedni , ha észak-koreai **gyáva** náciknak nevezi az ellenzéket , miniszterelnök úr"
courage,accusing,gyávaság,2,True,,,"Vagy **gyávaságból** , cinizmusból nem vettek részt , azért","Vajon hogyan tudná ennyi **gyávaság** , félrenézés és hazugság után ennek a",
courage,accusing,megalkuvás,6,True,,,A TISZA-kormány világos és **megalkuvást** nem tűrő ígéretet tett a választóinak :,"tisztelet nem gyengeség , a méltóság nem **megalkuvás.** ” Ehhez képest lehet szeretni a nemzeti",felszámolják a visszaéléseket ; Hegedűs miniszter úr **megalkuvást** nem tűrő és szakmailag kiváló döntéseit .
courage,accusing,megalkuvó,0,False,,,,,
courage,accusing,meghunyászkodik,0,False,,,,,
temperance,affirming,fegyelem,9,True,,,hogy a vétójog megszüntetése gyengíti a költségvetési **fegyelmet** .,A költségvetési gazdálkodás **fegyelmének** és átláthatóságának növelése érdekében pedig javaslatunkkal hatályon,"terv vállalásaival ‑ éppen olyan átláthatóságot és **fegyelmet** hozhatnak , amelyre szükség van ahhoz ,"
temperance,affirming,fegyelmezett,5,True,,,"és azt gondolom , hogy a tervezés **fegyelmezettebb** , szigorúbb eljárásrendje , illetve a különböző","a tervezés átláthatóbb , megalapozottabb , valamint **fegyelmezettebb** legyen .","Ezért kell most dolgoznunk gyorsan , **fegyelmezetten** , nyilvánosan és felelősen ."
temperance,affirming,mérséklet,0,False,,,,,
temperance,affirming,mértékletes,0,False,,,,,
temperance,affirming,mértékletesség,3,True,,,"példát kell mutatnunk , és ebbe a **mértékletesség** is beletartozik .","hogy a köz szolgálata történjen alázattal , **mértékletességgel** és önzetlenséggel ?","akkor hiteles , ha az alázattal , **mértékletességgel** , önzetlenséggel párosul ."
temperance,affirming,szerény,19,True,,,"Tehát az én **szerény** javaslatom az az , hogy bízzák ránk","a „ Jövő nemzedéke ” programban egy **szerénynek** mondható , 500 millió forintos keretből több","**Szerény** ismereteim szerint szinte mindegyik , akár multicég"
temperance,affirming,szerénység,5,True,,,"hogy ezekben a napokban … Igen , **szerénység** , elvtársak , igen !","Ez is olyan nagy **szerénységre** vall , mint az egész frakciójuk és","Ez a ház újra a **szerénység** és az alázat , a szolgálat és"
temperance,affirming,takarékos,7,True,,,"saját működésén kezdi meg a felelős , **takarékos** és átlátható gazdálkodás korszakát .","meg együtt , hogy a felelős és **takarékos** gazdálkodás nemcsak a Parlament falai között ,","A következő két napban minden **takarékos** lépés , minden felelős döntés és minden"
temperance,affirming,takarékosság,12,True,,,tisztséget betöltőknek a költségvetési fegyelem és a **takarékosság** terén is példát kell mutatniuk ; sem,"hogy a képviselők ne csak beszéljenek a **takarékosságról** , hanem gyakorolják is azt ‑ ez","Ez a törvényjavaslat ezért egyszerre szól **takarékosságról** , felelősségről és erkölcsi megújulásról ."
temperance,affirming,türelem,14,True,,,"Én kérnék szépen egy kis **türelmet** augusztus 31-éig , és látni fogjuk ,",kívánok önöknek jó munkát és mindannyiunknak sok **türelmet** .,", hogy anyagi terhekről beszéljünk , hanem **türelemről** , együttműködésről és közösségi felelősségvállalásról ‑ ezt"
temperance,affirming,türelmes,8,True,,,"ellenzéknek van lehetősége végigmondania minden felszólalását , **türelmesen** végighallgattuk .","hogy nincs itt Stumpf képviselő úr ‑ **türelmesen** ki kellett várnom a soromat ‑ ,","egy közösségről , amely hosszú évek óta **türelmesen** vár arra , hogy végre megoldódjon egy"
temperance,affirming,visszafogott,10,True,,,"és Közlekedési Minisztériumban nyújtottak , azért ennél **visszafogottabb** kritikát mernék önnek javasolni .","rendelkező állampolgárok közé tartozik Magyarországon , ha **visszafogottan** fogalmazok .","emberek azt várják el tőlünk , hogy **visszafogottabbak** legyünk mint politikusok , mint országgyűlési képviselők"
temperance,affirming,visszafogottság,1,True,,,példát kellett volna mutatniuk a magyar társadalomnak **visszafogottságból** és felelősségből .,,
temperance,affirming,önfegyelem,1,True,,,"tudtam nem arra gondolni , hogy micsoda **önfegyelem** kell ahhoz önöktől , hogy rezzenéstelen arccal",,
temperance,affirming,önmérséklet,24,True,,,"frakciójának tagjáról úgy beszéltek , mint az **önmérséklet** és a szerénység nagy példája .","Szeretnénk tehát mindenkitől **önmérsékletet** kérni , és szeretnénk , ha betartanák","tisztségviselőről beszélt , az nem alázat és **önmérséklet** , az hatalmi gőg , tisztelt miniszterelnök"
temperance,affirming,önuralom,2,True,,,"József édesapja azt tanította , hogy az **önuralmát** mindig őrizze meg .",( Pócs János : **Önuralom** ! ),
temperance,accusing,féktelen,4,True,,,"célja , hogy egyszerűen megakadályozzuk azt a **féktelen** , eszetlen költségvetési gazdálkodást , ami korábban","hatalom kijelöl , és a másik oldal **féktelen** vagyonosodását rezzenéstelen arccal és tétlenül figyeli .","A **féktelen** osztogatás , a felelőtlen gazdálkodás és a"
temperance,accusing,gátlástalan,10,True,,,"nincs és nem is volt , egy **gátlástalan** politikai provokátor és egy zavart álpróféta hamis",Ezt követte a választási rendszer **gátlástalan** átírása : saját magukra szabták a körzethatárokat,"elkerülhetetlen felszámolásáról kell beszélnünk , arról a **gátlástalan** vagyonkimentésről , amelyet az előző , bukott"
temperance,accusing,mértéktelen,2,True,,,"hogy állítsuk meg a közvagyon kontrollálatlan , **mértéktelen** kiáramlását , és mi példát is mutatunk",amit az elmúlt évek felelőtlen gazdálkodása és **mértéktelen** lopása kivett belőle .,
temperance,accusing,pazarlás,7,True,,,"szóba ennél a témánál , mint a **pazarlás** iskolapéldáját .",piaci verseny torzítása és a nemzeti erőforrások **pazarlása** azonnali beavatkozást igényel .,"részesei voltak , vagy hallgatásukkal asszisztáltak a **pazarláshoz** és a korrupcióhoz ."
temperance,accusing,pazarló,13,True,,,"Az az irdatlan **pazarló** működés , aminek a szemtanúi voltunk .","Ez egyszerre eredményezett **pazarlóbb** állami működést , gyengébb költségvetési fegyelmet ,","átláthatatlanság és a hatékonytalanság , a közpénz **pazarló** felhasználása , ahogy már mondtam , propagandacélokra"
temperance,accusing,szertelen,0,False,,,,,
temperance,accusing,türelmetlen,6,True,,,"személyforgalom , mert az emberek már egyre **türelmetlenebbek** , hogy még mindig nem használhatják ezt","a lakosok , mert ők már most **türelmetlenek** .","de én nemzetbiztonsági bizottsági elnökként is egyre **türelmetlenebbül** várom , hogy mi lesz például a"
truthfulness,affirming,becsület,27,True,,,"során bíró volt , rendkívül sértő a **becsületére** , emberi méltóságára nézve az az állítás","Mert ha egy szakmát valaki komolyan , **becsülettel** , tisztességgel csinál , akkor az már","Hittek abban , hogy munkával , **becsülettel** otthont teremthetnek a gyermekeiknek ."
truthfulness,affirming,becsületes,16,True,,,"nép ellenségeivé ‑ olyan embereket , akik **becsületes** munkával művelték a földjeiket , értéket teremtettek","Az ország polgármestereinek túlnyomó többsége tisztességesen , **becsületesen** teszi a dolgát és végzi a feladatát",", de a 70-80 év felettiek is **becsületesen** , tisztességesen dolgoznak , és valószínűleg haláluk"
truthfulness,affirming,becsületesség,0,False,,,,,
truthfulness,affirming,hiteles,58,True,,,"költségvetésünk lesz , hanem erősebb gazdaságunk , **hitelesebb** államunk és egy emberibb , kiszámíthatóbb Magyarországunk","meg , mert demokratikus kontroll csak akkor **hiteles** , ha nem a vizsgált hatalom kizárólagos","a nemzet közös nyilvánosságát kell szolgálnia , **hitelesen** tájékoztatni , teret adni a különböző véleményeknek"
truthfulness,affirming,hitelesség,20,True,,,"az , hogy helyreállítsa a kamara szakmai **hitelességét** és demokratikus működését .","Bár képviselőként nem tisztem a gépkocsivezető **hitelességét** vizsgálni , tényként kell kezelnünk azt az","években egyszerre kell helytállnia , a költségvetés **hitelességét** újraindítania , valamint a magyar gazdaság növekedését"
truthfulness,affirming,igazmondás,2,True,,,"és felelősségteljes döntésekkel , az utóbbit pedig **igazmondással** és átlátható ‑ ha ismerik ezt a","Ott majd az **igazmondás** terhe mellett elmondhatják önök is , és",
truthfulness,affirming,igazmondó,0,False,,,,,
truthfulness,affirming,nyílt,76,True,,,"lesz még úgyis felszólalása , mondja ki **nyíltan** , hogy ön államférfinek tartja ‑ e","valódi teljesítése , hanem egyszersmind annak a **nyílt** kimondása is , hogy Magyarország szakít azzal",", de mondjuk azt , hogy persze **nyílt** pályázati úton-módon majd ez a hivatal elkezd"
truthfulness,affirming,átlátható,179,True,,,"kezdi meg a felelős , takarékos és **átlátható** gazdálkodás korszakát .","közpénzek , a magyar és uniós közpénzek **átlátható** felhasználása volt .","egy olyan rendszer , ahol a forráselosztás **átlátható** , szakmai alapú , igazságos ; egy"
truthfulness,affirming,átláthatóság,109,True,,,növekedjen az uniós és hazai források felhasználásának **átláthatósága** .,"hídpillér , és ez a tényleges tulajdonosi **átláthatóság** .",Kiemelten fontos cél számunkra az **átláthatóság** és a visszaélések elkerülésének megakadályozása .
truthfulness,affirming,őszinte,122,True,,,"Ha pedig erre mindenki **őszintén** igennel tud felelni , akkor Magyarország jó","megint , ön is átveri … Tegnap **őszintén** beszélt a saját politikai közösségéhez , hogy","**Őszintén** szólva olyan ez , mintha a gyújtogató"
