stratum,uid,file,n_words,truncated,bertopic_topic,bertopic_label,cap_truncated,cap_confidence,cap_chunked,topic_dominant_cap,topic_purity,correct_cap,closer_method,annotator_confidence,notes
mix,43018-25,samples/mix/43018-25.md,768,True,1,"Premiership, head of state and party-political conflict",Mix,0.5137,Mix,Government Operations,0.3087,,,,
truncation,43005-12,samples/truncation/43005-12.md,1030,True,1,"Premiership, head of state and party-political conflict",Macroeconomics,0.698,Mix,Government Operations,0.3087,,,,
truncation,43006-20,samples/truncation/43006-20.md,605,True,17,Transcarpathian Hungarians and Ukraine,Civil Rights,0.9062,Mix,Civil Rights,0.4091,,,,
truncation,43008-101,samples/truncation/43008-101.md,575,True,-1,Unclustered residue,Government Operations,0.8456,Mix,Government Operations,,,,,
truncation,43010-238,samples/truncation/43010-238.md,507,True,8,Pre-agenda party-political clashes,International Affairs,0.7571,Mix,Government Operations,0.1837,,,,
truncation,43011-44,samples/truncation/43011-44.md,867,True,-1,Unclustered residue,Macroeconomics,0.9064,Mix,Government Operations,,,,,
truncation,43012-6,samples/truncation/43012-6.md,1240,True,-1,Unclustered residue,Government Operations,0.7144,Macroeconomics,Government Operations,,,,,
truncation,43013-21,samples/truncation/43013-21.md,568,True,15,"Poverty, incomes and public debt",Macroeconomics,0.7314,Mix,Macroeconomics,0.5714,,,,
truncation,43014-244,samples/truncation/43014-244.md,474,True,-1,Unclustered residue,Macroeconomics,0.8321,Mix,Government Operations,,,,,
truncation,43015-103,samples/truncation/43015-103.md,1446,True,1,"Premiership, head of state and party-political conflict",Macroeconomics,0.9959,Civil Rights,Government Operations,0.3087,,,,
truncation,43015-226,samples/truncation/43015-226.md,1141,True,-1,Unclustered residue,Law and Crime,0.7799,Domestic Commerce,Government Operations,,,,,
truncation,43019-10,samples/truncation/43019-10.md,777,True,1,"Premiership, head of state and party-political conflict",Civil Rights,0.9245,Mix,Government Operations,0.3087,,,,
truncation,43019-223,samples/truncation/43019-223.md,659,True,-1,Unclustered residue,Energy,0.6613,Environment,Government Operations,,,,,
